Year,Country code,count,Method,Moment,Value,Country
1985,DE,1.0,Method 1,mean,0.387046636808455,Germany
1986,DE,1.0,Method 1,mean,0.4257112231341867,Germany
1987,DE,1.0,Method 1,mean,0.36518394570674045,Germany
1988,DE,2.0,Method 1,mean,0.30801301472026055,Germany
1989,DE,2.0,Method 1,mean,0.2858609911615523,Germany
1990,DE,2.0,Method 1,mean,0.19317172889434236,Germany
1991,DE,1.0,Method 1,mean,0.37265286201331116,Germany
1993,DE,2.0,Method 1,mean,0.4246852547981389,Germany
1994,DE,2.0,Method 1,mean,0.3975175508006227,Germany
1995,DE,2.0,Method 1,mean,0.3788797770960073,Germany
1996,DE,3.0,Method 1,mean,0.3533577056476295,Germany
1997,DE,3.0,Method 1,mean,0.36532791956192995,Germany
1998,DE,2.0,Method 1,mean,0.579346277698638,Germany
1999,DE,4.0,Method 1,mean,0.42969158684055786,Germany
2000,DE,8.0,Method 1,mean,0.3855794177867204,Germany
2001,DE,44.0,Method 1,mean,0.37118185619925137,Germany
2002,DE,102.0,Method 1,mean,0.4016352048588597,Germany
2003,DE,116.0,Method 1,mean,0.4276034723308381,Germany
2004,DE,142.0,Method 1,mean,0.4234584609547179,Germany
2005,DE,190.0,Method 1,mean,0.42755842157924956,Germany
2006,DE,245.0,Method 1,mean,0.4287923093842769,Germany
2007,DE,266.0,Method 1,mean,0.42089646450098106,Germany
2008,DE,252.0,Method 1,mean,0.4412262162331444,Germany
2009,DE,254.0,Method 1,mean,0.4961323180216772,Germany
2010,DE,235.0,Method 1,mean,0.44482910906686196,Germany
2011,DE,257.0,Method 1,mean,0.4567846783123765,Germany
2012,DE,241.0,Method 1,mean,0.453970230908416,Germany
2013,DE,254.0,Method 1,mean,0.4625794508032897,Germany
2014,DE,240.0,Method 1,mean,0.4750597611775339,Germany
2015,DE,259.0,Method 1,mean,0.4785887095000965,Germany
2016,DE,240.0,Method 1,mean,0.4752765691870543,Germany
2017,DE,205.0,Method 1,mean,0.45200628265140996,Germany
2018,DE,32.0,Method 1,mean,0.3828995831199103,Germany
1987,DE,1.0,Method 2,mean,0.487536495199281,Germany
1988,DE,2.0,Method 2,mean,0.5074470277299411,Germany
1989,DE,2.0,Method 2,mean,0.4586349811935049,Germany
1990,DE,1.0,Method 2,mean,0.5452297531457061,Germany
1991,DE,1.0,Method 2,mean,0.5525777672403466,Germany
1993,DE,2.0,Method 2,mean,0.738069316486754,Germany
1994,DE,3.0,Method 2,mean,0.6169061257758158,Germany
1995,DE,4.0,Method 2,mean,0.5248352923623337,Germany
1996,DE,19.0,Method 2,mean,0.47094110805642,Germany
1997,DE,32.0,Method 2,mean,0.404940302884001,Germany
1998,DE,64.0,Method 2,mean,0.44997962083638576,Germany
1999,DE,236.0,Method 2,mean,0.46761650773013075,Germany
2000,DE,548.0,Method 2,mean,0.47735708994409304,Germany
2001,DE,1417.0,Method 2,mean,0.497643804362139,Germany
2002,DE,2711.0,Method 2,mean,0.48240398037270027,Germany
2003,DE,4172.0,Method 2,mean,0.47641601226321045,Germany
2004,DE,5475.0,Method 2,mean,0.4706590310823344,Germany
2005,DE,6844.0,Method 2,mean,0.4618187544915397,Germany
2006,DE,6797.0,Method 2,mean,0.4454432023267883,Germany
2007,DE,6080.0,Method 2,mean,0.43211657386987173,Germany
2008,DE,6532.0,Method 2,mean,0.4320410165604484,Germany
2009,DE,6931.0,Method 2,mean,0.46109602679310435,Germany
2010,DE,7352.0,Method 2,mean,0.4417883691300013,Germany
2011,DE,7612.0,Method 2,mean,0.4386834175799931,Germany
2012,DE,7769.0,Method 2,mean,0.44988161763948226,Germany
2013,DE,7832.0,Method 2,mean,0.4572385449748472,Germany
2014,DE,3758.0,Method 2,mean,0.4328606828339892,Germany
2015,DE,3288.0,Method 2,mean,0.4315525594485517,Germany
2016,DE,2967.0,Method 2,mean,0.4304256562960459,Germany
2017,DE,2101.0,Method 2,mean,0.4445162990949556,Germany
2018,DE,168.0,Method 2,mean,0.41934948916310333,Germany
1985,DE,1.0,Method 3,mean,1.0241254426254154,Germany
1986,DE,2.0,Method 3,mean,0.4615672656104427,Germany
1987,DE,5.0,Method 3,mean,0.5804601133357666,Germany
1988,DE,6.0,Method 3,mean,0.8754389226649009,Germany
1989,DE,9.0,Method 3,mean,0.6063243071178894,Germany
1990,DE,18.0,Method 3,mean,0.7672855715812603,Germany
1991,DE,26.0,Method 3,mean,0.7689583240305201,Germany
1992,DE,86.0,Method 3,mean,0.6713347971102084,Germany
1993,DE,119.0,Method 3,mean,0.7961308817323135,Germany
1994,DE,201.0,Method 3,mean,0.7208651805202726,Germany
1995,DE,291.0,Method 3,mean,0.7670047373917115,Germany
1996,DE,385.0,Method 3,mean,0.7568107942268051,Germany
1997,DE,469.0,Method 3,mean,0.7566712794146001,Germany
1998,DE,641.0,Method 3,mean,0.7968710312727801,Germany
1999,DE,960.0,Method 3,mean,0.8092325855410979,Germany
2000,DE,1076.0,Method 3,mean,0.834916606544699,Germany
2001,DE,1699.0,Method 3,mean,1.0916714240737921,Germany
2002,DE,3197.0,Method 3,mean,0.8108640169843011,Germany
2003,DE,4943.0,Method 3,mean,0.8063916198710374,Germany
2004,DE,6554.0,Method 3,mean,0.7959640814485356,Germany
2005,DE,9547.0,Method 3,mean,0.7905850003815994,Germany
2006,DE,10568.0,Method 3,mean,0.7661291331121614,Germany
2007,DE,9913.0,Method 3,mean,0.7501062626510171,Germany
2008,DE,10208.0,Method 3,mean,0.7578700410469054,Germany
2009,DE,10481.0,Method 3,mean,0.8153275943039225,Germany
2010,DE,10871.0,Method 3,mean,0.7633232374464078,Germany
2011,DE,11181.0,Method 3,mean,0.7558213492158954,Germany
2012,DE,11318.0,Method 3,mean,0.7769875137258347,Germany
2013,DE,11426.0,Method 3,mean,0.7854875823702806,Germany
2014,DE,7410.0,Method 3,mean,0.7701750540026556,Germany
2015,DE,6979.0,Method 3,mean,0.7781427594666642,Germany
2016,DE,6363.0,Method 3,mean,0.7699574036053966,Germany
2017,DE,4653.0,Method 3,mean,0.763811335001305,Germany
2018,DE,292.0,Method 3,mean,0.7710663957460037,Germany
1985,DE,1.0,Method 4,mean,1.4372390997408162,Germany
1986,DE,2.0,Method 4,mean,0.5134308631627541,Germany
1987,DE,5.0,Method 4,mean,0.6322965374429564,Germany
1988,DE,7.0,Method 4,mean,1.4052210234525286,Germany
1989,DE,10.0,Method 4,mean,0.7650673195276303,Germany
1990,DE,17.0,Method 4,mean,0.8288169945373558,Germany
1991,DE,26.0,Method 4,mean,0.911855813373083,Germany
1992,DE,88.0,Method 4,mean,0.8469186752480666,Germany
1993,DE,123.0,Method 4,mean,0.9997514025671863,Germany
1994,DE,205.0,Method 4,mean,0.9221557311176558,Germany
1995,DE,301.0,Method 4,mean,0.9075949461629867,Germany
1996,DE,393.0,Method 4,mean,0.8796033182768405,Germany
1997,DE,475.0,Method 4,mean,0.8737214663880948,Germany
1998,DE,659.0,Method 4,mean,0.9061796531711707,Germany
1999,DE,984.0,Method 4,mean,0.9081086416850206,Germany
2000,DE,1098.0,Method 4,mean,0.9714175386363099,Germany
2001,DE,1685.0,Method 4,mean,0.9527241122105864,Germany
2002,DE,3161.0,Method 4,mean,0.9060465100931322,Germany
2003,DE,4907.0,Method 4,mean,1.1274021325256134,Germany
2004,DE,6519.0,Method 4,mean,0.8789172877385787,Germany
2005,DE,9490.0,Method 4,mean,0.8626786214525539,Germany
2006,DE,10509.0,Method 4,mean,0.8405505590416226,Germany
2007,DE,9865.0,Method 4,mean,0.8278996715524931,Germany
2008,DE,10154.0,Method 4,mean,0.8352102645148242,Germany
2009,DE,10412.0,Method 4,mean,0.924864495763948,Germany
2010,DE,10814.0,Method 4,mean,0.846863626457808,Germany
2011,DE,11131.0,Method 4,mean,0.8322061105610932,Germany
2012,DE,11263.0,Method 4,mean,0.8540013148612935,Germany
2013,DE,11376.0,Method 4,mean,0.8700133575982615,Germany
2014,DE,7376.0,Method 4,mean,0.8534093846569072,Germany
2015,DE,6941.0,Method 4,mean,0.8589809412705454,Germany
2016,DE,6328.0,Method 4,mean,0.8540042091433602,Germany
2017,DE,4639.0,Method 4,mean,0.8472607661979045,Germany
2018,DE,290.0,Method 4,mean,0.8600276315300941,Germany
1990,ES,2.0,Method 1,mean,0.4044345609615215,Spain
1991,ES,8.0,Method 1,mean,0.3108252042431089,Spain
1992,ES,61.0,Method 1,mean,0.32516247163890266,Spain
1993,ES,158.0,Method 1,mean,0.3649913716563899,Spain
1994,ES,258.0,Method 1,mean,0.3463760742357316,Spain
1995,ES,391.0,Method 1,mean,0.3591561757547609,Spain
1996,ES,604.0,Method 1,mean,0.37616534451301975,Spain
1997,ES,689.0,Method 1,mean,0.3771537150059465,Spain
1998,ES,706.0,Method 1,mean,0.3677582364846657,Spain
1999,ES,862.0,Method 1,mean,0.35294147657844344,Spain
2000,ES,2032.0,Method 1,mean,0.3457936444789056,Spain
2001,ES,26127.0,Method 1,mean,0.3344927788628254,Spain
2002,ES,760.0,Method 1,mean,0.37655003562325057,Spain
2003,ES,424.0,Method 1,mean,0.41077304073708737,Spain
2004,ES,213.0,Method 1,mean,0.42291402504848724,Spain
2005,ES,91.0,Method 1,mean,0.40913919474247057,Spain
2006,ES,13.0,Method 1,mean,0.2666436899319342,Spain
2007,ES,7.0,Method 1,mean,0.33305606506482605,Spain
2008,ES,2.0,Method 1,mean,0.20707815619244463,Spain
2009,ES,2.0,Method 1,mean,0.120204731667397,Spain
2010,ES,4.0,Method 1,mean,0.2032546659811622,Spain
2011,ES,4.0,Method 1,mean,0.24248883544541447,Spain
2012,ES,4.0,Method 1,mean,0.3553397416277821,Spain
2013,ES,4.0,Method 1,mean,0.3959726815761072,Spain
2014,ES,5.0,Method 1,mean,0.3588419413178717,Spain
2015,ES,6.0,Method 1,mean,0.30634322906422423,Spain
2016,ES,2.0,Method 1,mean,0.44998498466705655,Spain
1987,ES,1.0,Method 2,mean,0.15754620755041185,Spain
1988,ES,1.0,Method 2,mean,0.16162857573660594,Spain
1989,ES,5.0,Method 2,mean,0.4358032780537898,Spain
1990,ES,102.0,Method 2,mean,0.4318555085935206,Spain
1991,ES,670.0,Method 2,mean,0.4761643665008449,Spain
1992,ES,2596.0,Method 2,mean,0.56011870867405,Spain
1993,ES,6713.0,Method 2,mean,0.5866286472238932,Spain
1994,ES,23212.0,Method 2,mean,0.5186164043447675,Spain
1995,ES,30133.0,Method 2,mean,0.5274901102200618,Spain
1996,ES,37277.0,Method 2,mean,0.5397728798096394,Spain
1997,ES,38843.0,Method 2,mean,0.5321157762712342,Spain
1998,ES,41991.0,Method 2,mean,0.5272178441956696,Spain
1999,ES,44902.0,Method 2,mean,0.5273137948839962,Spain
2000,ES,47552.0,Method 2,mean,0.5355419401536603,Spain
2001,ES,56328.0,Method 2,mean,0.5582141747165864,Spain
2002,ES,59559.0,Method 2,mean,0.5725627727066019,Spain
2003,ES,36607.0,Method 2,mean,0.602442126775687,Spain
