,Tax,Equilibrium,N,E,U,UR,LFPR,Labor,Efficiency
0,0.0,General,0.34497069612825926,0.6145501489505809,0.04047915492115979,0.06179747178011121,0.6550293038717407,0.49144255405063336,0.7996785207681282
1,0.05,General,0.38803223095748646,0.5749630919036596,0.037004677138853984,0.06046834328669238,0.6119677690425136,0.46849281119071595,0.8148224082341903
2,0.05,Partial,0.38261296703065406,0.5801371427396302,0.03724989022971558,0.06033474666703129,0.6173870329693458,0.47190206227975734,0.8134319068957638
3,0.05,"Partial, no subsidy",0.3631686077966018,0.5963852950580588,0.04044609714533932,0.06351146887624096,0.6368313922033981,0.48138343598593214,0.8071685200405032
4,0.1,General,0.43464324274335087,0.5321333226996514,0.03322343455699771,0.05876543285378229,0.5653567572566491,0.442575913341711,0.8317011817572478
5,0.1,Partial,0.4244258968187,0.5418493741503,0.03372472903099993,0.058593200848678535,0.5755741031812999,0.4492396164210637,0.8290857899864477
6,0.1,"Partial, no subsidy",0.3842135662838587,0.5756873047903956,0.04009912892574573,0.06511856502546823,0.6157864337161414,0.4695678151309245,0.8156647041259515
7,0.15,General,0.4841684048373163,0.4863113352543372,0.0295202599083464,0.05722848345308563,0.5158315951626836,0.4135373864692955,0.8503552282058541
8,0.15,Partial,0.46997695020859853,0.49985228527963343,0.030170764511767926,0.056923495164299155,0.5300230497914014,0.42320618409630173,0.8466624972206471
9,0.15,"Partial, no subsidy",0.4085907412153931,0.5519128252426624,0.03949643354194452,0.0667835901370784,0.5914092587846069,0.45569757446677067,0.8256694782666297
10,0.2,General,0.5357801004391648,0.4381510036971707,0.026068895863664544,0.05615635152290205,0.4642198995608352,0.3815188814113559,0.8707474779061416
11,0.2,Partial,0.5184499557399835,0.4548392876023085,0.026710756657707946,0.05546828824147149,0.4815500442600164,0.39386907022509543,0.8659521746711494
12,0.2,"Partial, no subsidy",0.43632919501013745,0.5248706039498513,0.038800201040011195,0.06883486016400833,0.5636708049898624,0.43930251805178133,0.8369729886678021
0,0.0075,UI,0.25468421188856993,0.5964125177673905,0.1489032703440397,0.19978547713493167,0.7453157881114302,0.4833482265221993,0.8104260258177749
